Sector,Market Cap,Price
Basic Materials,212000000000.0,181.88999938964844
Communication Services,2020000000000.0,162.57000732421875
Consumer Cyclical,1820000000000.0,166.0
Consumer Defensive,478000000000.0,192.27000427246094
Energy,466000000000.0,442.7900085449219
Financial Services,551000000000.0,774.7550048828125
Healthcare,743000000000.0,392.44000244140625
Industrials,177000000000.0,66.87000274658203
Real Estate,94482382848.0,
Technology,2890000000000.0,59.310001373291016
Utilities,138000000000.0,118.27999877929688
