AMZN,GE,GOOG,JPM,LIN,LLY,MSFT,NEE,PLD,WMT,XOM
843739908976.7272,99470351468.97499,649756070101.2598,59967632156.90192,168749171731.04834,200304353350.68915,4670292831231.455,43852935678.552986,,70939587950.00908,56268157748.42458
822442649933.229,99593911202.61363,631248435826.3624,59115396961.11091,163478473396.27728,194079711580.73807,4498480916962.899,43744490039.34415,,70574789095.4777,55404236204.90604
863617417668.7217,101694547841.1621,665200862796.8645,61294710149.283264,168137323900.83072,199920776911.24847,4707702437669.321,44550128180.02172,,71015585340.45226,57446972736.80828
893285624492.5992,107996376979.01317,663759500489.385,61337331133.21957,167987078559.73608,201001767685.05463,4713706324659.866,44485570846.16617,,71851589828.17258,57745699167.77073
908125206820.936,105772200801.27464,668661336274.5242,61221649481.08438,169768983325.39594,202849998005.36166,4747883126065.548,44810916665.1831,,72353209591.41096,58165555756.039406
909682055553.7579,105030822204.99419,667654909036.7094,61118170832.497604,170101771064.8091,204366926905.40842,4815776121076.212,44617262466.39725,,72117606774.81648,58472367701.28048
907927798535.4503,110467692818.47757,664964767375.984,61112066617.73907,173740863329.18442,202152583670.9962,4784831752945.006,45288627583.62856,,72170805422.31021,58173649299.627144
899343131191.7592,110467692818.47757,656801297761.9694,60819894482.53629,171980335800.73996,202571058271.90134,4747883126065.548,45371250289.29519,,72079605708.67737,57907192661.99717
886542793182.0054,109973443786.6987,649035412647.1206,61446886866.721504,169629479957.07843,199955631738.90317,4713244601586.042,44214438945.363266,,72163218486.22055,57834527414.50802
917981651949.5952,107872817245.37453,669201829365.1285,61897372489.933105,168781379864.6566,204157725716.464,4849953665997.31,45115629061.25937,,73151222496.66228,57866817281.11328
923036056886.2363,110961972141.92932,671575107366.2301,62396550756.02749,168792121837.43372,203652063490.31073,4867042624336.713,45105298997.70344,,73227234112.61061,57842600884.822975
928210997983.6337,112938998560.71768,677123041662.1145,62652206122.052505,168813605782.98795,207766955398.02017,4901220169257.812,45314437165.08518,,73523636738.29364,58238233047.492226
929844551546.0278,111950490399.93565,682316856526.2787,63668821038.83016,172602943388.45786,203285921686.99902,4974654956427.488,45469370315.6433,,74276042673.97595,58932595655.77849
894743769082.6783,107007868818.23114,665082838786.0249,62664387421.72621,172656582113.45093,204157725716.464,4880898777643.933,45802478147.08657,,74093643246.71027,58044449686.66052
899047102411.1093,107872817245.37453,668220239308.7113,62506111915.49811,170606234736.70178,207121801638.23187,4928468894009.884,46318919015.15016,,75020847448.06342,57568082820.84172
907220641906.0029,108490646205.24063,667182718194.9484,62542639536.61321,168931660775.1975,200496163237.3144,4904914697363.82,46551298712.85895,,74754844726.92467,57648829567.95494
915794435064.4767,113186118027.99498,677800234048.8079,62938322876.214806,170509663690.0465,200461250631.24667,4949715218802.244,44981351587.117905,,73675622035.50989,57907192661.99717
897879465861.4928,110344153279.2875,664809487593.048,63236604652.14479,169833381807.88925,200565887337.22702,4853186842787.203,44534630859.340225,,73766831232.81284,57519633969.642876
873753496652.6261,109973443786.6987,658932223647.6398,63413149394.899124,173064528092.85773,201751529261.61676,4754349851403.041,44635341190.29392,,73500833253.50914,57737641756.074005
915717646587.3258,112444729334.49023,676601176457.5583,63559243601.45352,174889418534.3492,203896191729.92612,4913227571481.193,44823832582.64941,,72049205804.13309,58367412587.186066
