Ticker,Sector,Market Cap
A,Healthcare,40160256000
AA,Basic Materials,6309703680
AACT,Financial Services,663750016
AAN,Industrials,211622208
AAP,Consumer Cyclical,4350301696
AAT,Real Estate,1645583232
AB,Financial Services,3856842496
ABBV,Healthcare,2.88E+11
ABEV,Consumer Defensive,37226950656
ABG,Consumer Cyclical,4241003520
ABM,Industrials,2765838592
ABR,Real Estate,2430669056
ABR,Real Estate,2430669056
D,Utilities,42700492800
ABR,Real Estate,2430669056
E,Energy,52235161600
ABR,Real Estate,2430669056
F,Consumer Cyclical,48279601152
ABT,Healthcare,1.84E+11
AC,Financial Services,695666176
ACA,Industrials,3691667968
ACCO,Industrials,457554432
ACEL,Consumer Cyclical,899749952
ACHR,Industrials,1251117696
ACI,Consumer Defensive,11779123200
ACM,Industrials,12563176448
ACN,Technology,1.89E+11
ACP,Financial Services,340799392
ACP,Financial Services,340799392
A,Healthcare,40160256000
ACR,Real Estate,102214488
ACR,Real Estate,102214488
C,Financial Services,1.17E+11
ACR,Real Estate,102214488
D,Utilities,42700492800
ACRE,Real Estate,369529440
ACV,Financial Services,227945776
ADC,Real Estate,5777732608
ADC,Real Estate,5777732608
A,Healthcare,40160256000
ADCT,Healthcare,365209728
ADM,Consumer Defensive,29433477120
ADNT,Consumer Cyclical,2725515264
ADT,Industrials,5917431296
ADX,Financial Services,2340408576
AEE,Utilities,19687168000
AEFC,,
AEG,Financial Services,11097238528
AEL,Financial Services,4464796160
AEL,Financial Services,4464796160
A,Healthcare,40160256000
AEL,Financial Services,4464796160
B,Industrials,1760376960
AEM,Basic Materials,31777435648
AEO,Consumer Cyclical,4783028736
AER,Industrials,17108632576
AES,Utilities,12723463168
AESI,Energy,3378340608
AEVA,Technology,164628048
AFB,Financial Services,301533984
AFG,Financial Services,10712782848
AFGB,,
AFGC,,20639882
AFGD,,
AFGE,,
AFL,Financial Services,48132878336
AFT,Financial Services,221300864
AG,Basic Materials,1929310848
AGCO,Industrials,8520629760
AGD,Financial Services,231494096
AGI,Basic Materials,5893988352
AGL,Healthcare,2260813568
AGM,Financial Services,1959744256
AGM,Financial Services,1959744256
C,Financial Services,1.17E+11
AGM,Financial Services,1959744256
D,Utilities,42700492800
AGM,Financial Services,1959744256
E,Energy,52235161600
AGM,Financial Services,1959744256
F,Consumer Cyclical,48279601152
AGM,Financial Services,1959744256
G,Technology,5543436288
AGO,Financial Services,4258153728
AGR,Utilities,14133675008
AGRO,Consumer Defensive,1129864832
AGS,Consumer Cyclical,346726912
AGTI,Healthcare,1381222016
AGX,Industrials,797848384
AHH,Real Estate,932252992
AHH,Real Estate,932252992
A,Healthcare,40160256000
AHL,,
C,Financial Services,1.17E+11
AHL,,
D,Utilities,42700492800
AHL,,
E,Energy,52235161600
AHR,Real Estate,1658886016
AHT,Real Estate,50527384
